Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url,Duration to complete (Approx.),Number of Review
Cultura Maya en Yucatán,0.0,Beginner level,Flexible schedule,"Conocerás los aspectos fundamentales de la Cultura Maya, los personajes  históricos así como su arquitectura y sus avances científicos.",Not specified,"Inicia aquí, Módulo 1: Introducción a la Civilización Maya, Módulo 2: Sociedad y religión, Módulo 3: Arquitectura Maya, Módulo 4: La resistencia Maya, Módulo 5: Los Mayas hoy, Fin del Curso","Alejandro Esteban Fitzmaurice Cahluni, Jorge Oswaldo Gómez Ortiz, Eduardo Manuel Puga Salazar",Universidades Anáhuac,Arts and Humanities,https://www.coursera.org/learn/cultura-maya-en-yucatan,14.0,0
Antisemitismo: Desde sus orígenes hasta el presente,4.9,Beginner level,Flexible schedule,A debatir qué es el antisemitismo y qué tiene de únicoA explicar las raíces históricas e ideológicas del antisemitismo y cómo se ha desarrollado ésteA debatir las características del antisemitismo en el presente díaA identificar el lenguaje y las acciones antisemitas en el pasado y en el presente,"Holocaust, Middle East, Israel, defeatism","¿QUÉ ES EL ANTISEMITISMO? DEFINICIONES Y ORIGENES, LA CARA  CAMBIANTE DEL ANTISEMITISMO, ANTISEMITISMO GENOCIDA: DESDE LA PRIMERA GUERRA MUNDIAL AL HOLOCAUSTO, ANTISEMITISMO CONTEMPORÁNEO, EL MUNDO ISLÁMICO Y ÁRABE, ABORDANDO EL ANTISEMITISMO","Dafna Dolinko, Dr. Yossi Kugler, Dmitry Kolotilenko",Yad Vashem ,Arts and Humanities,https://www.coursera.org/learn/antisemitismo,21.0,15
"Herencia negra, aplicación de ritmos afroperuanos",0.0,Beginner level,Flexible schedule,Not specified,"Musical Notation, Musical Composition","Bienvenida al curso, Panorama de la cultura afroperuana, Panorama contemporáneo de la música afroperuana, Aplicación de los ritmos afroperuanos",Javier Lazo Figueroa,Pontificia Universidad Católica del Perú,Arts and Humanities,https://www.coursera.org/learn/aplicacion-ritmos-afroperuanos,16.0,0
Storytelling y medios digitales,0.0,Beginner level,Flexible schedule,Not specified,Not specified,"Semana 1, Semana 2, Semana 3",Josué Rodrigo Contreras Granados,SAE Institute México,Arts and Humanities,https://www.coursera.org/learn/storytelling-y-medios-digitales,8.0,0
游戏产业概论,3.5,Beginner level,Flexible schedule,Not specified,Not specified,"绪论, 游戏硬件与软件发展历程, 游戏类型划分, 大师是怎样炼成的？, 游戏产业知识产权法律问题分析及应对, 游戏产品的研发与市场化运作, 企业创投与产品运营",胡东雁,"Fudan University, 上海戏剧学院",Arts and Humanities,https://www.coursera.org/learn/youxi-chanye-gailun,20.0,66
Overcoming  Challenges in Self and Society,0.0,Beginner level,Flexible schedule,Not specified,Not specified,"Understanding Adversity: An Exploration of Challenges, Resilience Theory and Practice: From Hardship to Strength, Spiritual and Humanistic Dimensions of Resilience: A Renaissance Perspective, The Renaissance of Resilience: You, Your Community, and Social Transformation, Personal Renaissance of Resilience Mandala",Roger L Martinez,University of Colorado System,Arts and Humanities,https://www.coursera.org/learn/overcoming-challenges-in-self-and-society,18.0,0
Proyecto final de Músico moderno,4.6,Not specified,Flexible schedule,Not specified,Not specified,"Desarrollo de la canción y grabación simple, Cree un plan de producción, Crear un bounce básico, Mezclar y masterizar","Loudon Stearns, George W. Russell, Jr., Pat Pattison","Berklee, Banco Interamericano de Desarrollo",Arts and Humanities,https://www.coursera.org/learn/proyecto-musico,9.0,23
"Internal Displacement, Conflict and Protection",4.9,Beginner level,Flexible schedule,Not specified,"•\tPractice navigating online in order to engage with specialised resources, •\tLearn to apply technical legal and policy categories to factual scenarios, •\tLearn to engage with technical concepts, •\tPractice sifting complex factual information to identify important features and trends, •\tPractice evaluating on-the-ground problems to identify pertinent solutions","Course Introduction, Week 1: Internal displacement: scale, causes and effects , Week 2: The emergence of IDP law, policy and institutions , Week 3: IDP protection in practice , Week 4: Displacement solutions and development, Week 5: IDPs in social context , Week 6: Internal displacement as lived experience","Dr Agnes Woolley, Professor David Cantor",University of London,Arts and Humanities,https://www.coursera.org/learn/internal-displacement-conflict-and-protection,27.0,48
"Health, Society, and Wellness in COVID-19 Times ",4.6,Beginner level,Flexible schedule,"You will explore perspectives on disease and society and on systemic racism and inequality with scholars across disciplines.You will explore the science and practice of individual and community wellness. You will learn skills relevant to emotions, relationships, common mental health concerns, and learning in the age of Zoom and remote classes. You will learn practices of cooperation, compassion, and anti-racism for community wellness.","Education, COVID-19, health, Public Health, Health Care","An Orientation to Health, Society, and Wellness in COVID-19 Times, Mental Health and Well-Being in COVID-19 Times, The Public Health Response and Transmission of the COVID-19 Virus, Social Inequities and COVID-19","Daryl Maeda, Sona Dimidjian, Donna Mejia",University of Colorado Boulder,Arts and Humanities,https://www.coursera.org/learn/health-society-and-wellness-in-covid-19-times,52.0,14
Indigenous Canada,4.8,Not specified,Flexible schedule,Not specified,"Art, History, Indigenous Studies, Human Rights and Allyship, Politics","Worldview, Fur Trade, Trick or Treaty, New Rules, New Game, “Killing the Indian in the Child”, A Modern Indian?, Red Power, Sovereign Lands, Indigenous Women, Indigenous in the City, Current Social Movements, ‘Living’ Traditions – Expressions in Pop Culture and Art",Dr. Paul L. Gareau,University of Alberta,Arts and Humanities,https://www.coursera.org/learn/indigenous-canada,21.0,21648
Graphic Design Specialization,4.7,Beginner level,Flexible schedule,"Gain the fundamental skills needed to be a graphic designerCommunicate through image-making and typographyComplete a capstone project to add to your professional portfolioLearn everything you need to know to work in interface design, motion graphics, and editorial design","Art History, Branding Communication, Visual Communication, Typography, Graphic Design","Fundamentals of Graphic Design, Introduction to Typography, Introduction to Imagemaking, Ideas from the History of Graphic Design, Brand New Brand","Gail Swanlund, Louise Sandhaus, Michael Worthington, Anther Kiley, Lorraine Wild",California Institute of the Arts,Arts and Humanities,https://www.coursera.org/specializations/graphic-design,80.0,16128
UI / UX Design Specialization,4.7,Beginner level,Flexible schedule,Not specified,"User Research, Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX)","Visual Elements of User Interface Design, UX Design Fundamentals, Web Design: Strategy and Information Architecture, Web Design: Wireframes to Prototypes","Michael Worthington, Roman Jaster",California Institute of the Arts,Arts and Humanities,https://www.coursera.org/specializations/ui-ux-design,80.0,6772
Creative Writing Specialization,4.7,Beginner level,Flexible schedule,Not specified,"Short Story Writing, Fiction Writing, Creativity, Copy Editing","Creative Writing: The Craft of Plot, Creative Writing: The Craft of Character, Creative Writing: The Craft of Setting and Description, Creative Writing: The Craft of Style, Capstone: Your Story","Amity Gaige, Salvatore Scibona, Brando Skyhorse, Amy Bloom",Wesleyan University,Arts and Humanities,https://www.coursera.org/specializations/creative-writing,40.0,5035
Modern and Contemporary Art and Design Specialization,4.8,Beginner level,Flexible schedule,"Develop a deeper understanding of artists’ and designers’ processes, including modes of experimentation and responses to technological innovation.Develop critical thinking and looking skills to understand how artists and designers respond to the social and cultural issues of their time.Gain confidence in looking at and talking about modern and contemporary art and design, and find inspiration from art all around you.Better comprehend the choices you make about fashion with respect to expression, identity, and issues such as labor practices and sustainability.","Design, Art, History, Photography, Museums","Modern Art & Ideas, Seeing Through Photographs, What Is Contemporary Art?, Fashion as Design","Anna Burckhardt, Sophie Cavoulacos, Sarah Meister, Paola Antonelli, Michelle Millar Fisher, Erica Papernik-Shimizu, Christian Rattemeyer, Lisa Mazzola, Arièle Dionne-Krosnick, Lucy Gallun, Sean Anderson, Stephanie Kramer",The Museum of Modern Art,Arts and Humanities,https://www.coursera.org/specializations/modern-contemporary-art-design,80.0,2393
Game Design: Art and Concepts Specialization,4.7,Beginner level,Flexible schedule,Ways to create and describe a game conceptEvaluation and interpretion of different story styles Concepts and approaches involved in creating successful character designs,"Interactive Storytelling, Game Design Document, Video Game Design, Game Design","Introduction to Game Design, Story and Narrative Development for Video Games, World Design for Video Games, Character Design for Video Games, Game Design Document: Define the Art & Concepts","Théotime Vaillant, Dariush Derakhshani, Fran Krause",California Institute of the Arts,Arts and Humanities,https://www.coursera.org/specializations/game-design,40.0,2491
The DIY Musician Specialization,4.7,Beginner level,Flexible schedule,"Tools and techniques to write more compelling songs.Develop your identity and vision as an artist.Use ProTools to record and produce your original music.Strategies to plan, launch, and manage a successful crowdfunding campaign.","Social Media, Songwriting, Music production, Crowdfunding, Music recording","Songwriting: Writing the Lyrics, The Art of Music Production, Pro Tools Basics, Building Your Career in Music: Developing A Brand and Funding Your Music","Leah Waldo, Stephen Webber, Pat Pattison, Chrissy Tignor",Berklee,Arts and Humanities,https://www.coursera.org/specializations/diy-musician,40.0,443
Music Production Specialization,4.8,Beginner level,Flexible schedule,"Identify and use reference tracks to establish a vision for your productionUse the Production Check-List to run an efficient and well-organized recording sessionEdit your tracks while using your reference tracks and emotional and dynamic timelines to realize your vision for your productionEvaluate your mix by crtically listening to it on different sound systems (ear buds, in the car, sound system, computer, etc.)","Audio Editing, Music, Sound Design, Audio Recording, Music production","The Art of Music Production, The Technology of Music Production, Pro Tools Basics, Music Production Capstone","Stephen Webber, Loudon Stearns, Chrissy Tignor",Berklee,Arts and Humanities,https://www.coursera.org/specializations/music-production,40.0,1815
The Business of Music Production Specialization,4.9,Beginner level,Flexible schedule,"The structure of the recording music industry and to read and interpret recording contractsHow to earn money with your recorded music by leveraging copyright lawCast a clear vision for a recording project and how to use the right tools to achieve your visionHow to record, edit, and mix a production using the industry standard digital audio workstation, Pro Tools","Copyright, Pro Tools, Music production, Music recording, Contracts","Music Business Foundations, The Art of Music Production, Copyright Law in the Music Business, Pro Tools Basics","Dr. E. Michael Harrington, Stephen Webber, John P. Kellogg, Esq., Chrissy Tignor",Berklee,Arts and Humanities,https://www.coursera.org/specializations/business-music-production,40.0,602
The Singer Songwriter Specialization,4.8,Beginner level,Flexible schedule,"The basics of playing the guitar, including chords, scales, strumming and picking patterns.How to sing in your preferred genre and style healthfully, using proper breathing and vocal techniques.Basic songwriting tools and techniques to augment your songwriting.How to record, edit, and mix music productions that include MIDI and audio to create professional sounding recordings of your music.  ","Guitar, Singing, Ableton, Songwriting, Music production","Guitar for Beginners, Singing Popular Music, Songwriting: Writing the Lyrics, Introduction to Ableton Live","Thaddeus Hogarth, Jeannie Gagne, Pat Pattison, Erin Barra",Berklee,Arts and Humanities,https://www.coursera.org/specializations/singer-songwriter,80.0,448
"Songwriting: Writing, Arranging, and Producing Music Specialization",4.8,Beginner level,Flexible schedule,Generate lyrics that effectively convey the emotions you want to expressCreate melodies and accompaniment that support your lyricsDevelop balanced arrangements for live and recorded performancesProduce song demos using a DAW,"Music, arranging, Songwriting, Producing","Songwriting: Writing the Lyrics, Songwriting: Writing the Music, Arranging for Songwriters, Introduction to Ableton Live","Sarah Brindell, Pat Pattison, Scarlet Keys, Erin Barra, Bonnie Hayes",Berklee,Arts and Humanities,https://www.coursera.org/specializations/songwriting,40.0,196
Fundamentals of Graphic Design,4.8,Beginner level,Flexible schedule,"Implement the fundamentals of color: visual, rhythm, and pattern in design Use scale, weight, direction, texture, and space in a composition Typeset text and experiment with letter formsCreate your own series of images using different image making techniques  ","Creativity, Graphics, Design Theory, Color Theory","Course Overview, Week 1: Fundamentals of Imagemaking, Week 2: Fundamentals of Typography, Week 3: Fundamentals of Shape and Color, Week 4: Fundamentals of Composition, Continuing your graphic design studies",Michael Worthington,California Institute of the Arts,Arts and Humanities,https://www.coursera.org/learn/fundamentals-of-graphic-design,15.0,16929
Photography Basics and Beyond: From Smartphone to DSLR Specialization,4.8,Beginner level,Flexible schedule,Not specified,"Social Media, Photography, Writing, Copywriting","Cameras, Exposure, and Photography, Camera Control, Principles of Photo Composition and Digital Image Post-Production, Photography Techniques: Light, Content, and Sharing, Photography Capstone Project","Mark Valentine Sullivan, Peter Glendinning",Michigan State University,Arts and Humanities,https://www.coursera.org/specializations/photography-basics,80.0,5195
Electronic Music Production Specialization,4.8,Intermediate level,Flexible schedule,"The nature of sound and how natural sound is transformed into an electronic signal that we can recordHow to record, edit, and mix live instruments and MIDI in Ableton LiveHow to create custom sounds using a synthesizer and how to integrate those custom sounds for your musical compositionsHow to record, edit, mix, and add effects to vocal tracks for your electronic music productions","MIDI programming, File Management, Audio Recording, Ableton, Music Making, Sound Design, Create custom synthesizer patches, Create an electronic composition, Create custom patches in Strobe 2, Manipulate preset patches, Audio Editing, Music, Audio Production, Music Arrangement, Electronic Digital Instrument, Performance Technique, Live Looping","The Technology of Music Production, Introduction to Ableton Live, Creating Sounds for Electronic Music, Electronic Music Performance Techniques","Loudon Stearns, Erin Barra, Rishabh Rajan",Berklee,Arts and Humanities,https://www.coursera.org/specializations/electronic-music-production,40.0,520
Introduction to Philosophy,4.7,Not specified,Flexible schedule,Not specified,Not specified,"What is Philosophy?, Morality: Objective, Relative or Emotive?, What is Knowledge? And Do We Have Any?, Week 2 review: Lesson Choices, Do We Have an Obligation to Obey the Law?, Should You Believe What You Hear?, Week 3 review: Lesson Choices, Minds, Brains and Computers, Are Scientific Theories True?, Week 4 review: Lesson Choices, Do We Have Free Will and Does It Matter?, Time Travel and Philosophy , Week 5 review: Lesson Choices, Peer review","Dr. Allan Hazlett, Dr. Alasdair Richmond, Dr. Suilin Lavelle, Professor Duncan Pritchard, Dr. Matthew Chrisman, Guy Fletcher, Elinor Mason, Dr.  Dave Ward,  Professor Michela Massimi",The University of Edinburgh,Arts and Humanities,https://www.coursera.org/learn/philosophy,19.0,9048
Introduction to Logic and Critical Thinking Specialization,4.6,Beginner level,Flexible schedule,Understand and appreciate arguments that you and other people presentDetermine whether or not an argument is deductively validAnalyze and assess five common forms of inductive arguments Recognize fallacies,"logic, Critical Thinking, Business Communication, Communication, analysis, reason","Think Again I: How to Understand Arguments, Think Again II: How to Reason Deductively, Think Again III: How to Reason Inductively, Think Again IV: How to Avoid Fallacies","Dr. Walter  Sinnott-Armstrong, Dr. Ram  Neta",Duke University,Arts and Humanities,https://www.coursera.org/specializations/logic-critical-thinking-duke,80.0,556
Finding Your Professional Voice: Confidence & Impact,4.7,Beginner level,Flexible schedule,Learners will use the embodied voice to engage and connect with an audience is a vital element in dynamic verbal exchange.  ,"Speak with greater clarity, Identify current vocal behaviors connected to speaking and have techniques to address them., Speak with confidence and connection, How to convey meaning and make messages compelling","Be Aware: Understanding yourself and understanding how the voice works. , Be Physical: the role of the body in speaking, Be Connected: understanding your audience and how to connect  to them, Be Impactful: Using emphasis for impact",Emmy Broomfield,University of London,Arts and Humanities,https://www.coursera.org/learn/finding-your-professional-voice,9.0,310
Memoir and Personal Essay: Write About Yourself Specialization,4.4,Beginner level,Flexible schedule,Not specified,"Essay Writing, Creativity, Non-fiction Writing, Storytelling, Writing","Memoir and Personal Essay: Managing Your Relationship with the Reader, Writing in First Person Point of View, Writing a Personal Essay, Writing Stories About Ourselves","Ariel Levy, Said Sayrafiezadeh, Greg Pardlo, Amy Bloom",Wesleyan University,Arts and Humanities,https://www.coursera.org/specializations/memoir-personal-essay,40.0,330
Fundamentals of Music Theory,4.5,Beginner level,Flexible schedule,Not specified,"Notation, Scales, Chords, Harmony, Rhythm","Pitches, Scales, Modes and Chords, Keys, Minor Scales, Intervals and Clefs, Rhythm and Form, Harmony 1: Functional Harmony, Harmony 2: Inversions, Cadences and Sequences, Harmonic Analysis Practice and Final Exam","Dr Nikki Moran, Eli Appleby-Donald, Dr John Philip Kitchen MBE, Dr Thomas Butler, Dr Richard Worth, Dr Zack Moir",The University of Edinburgh,Arts and Humanities,https://www.coursera.org/learn/edinburgh-music-theory,11.0,1707
Visual Elements of User Interface Design,4.7,Beginner level,Flexible schedule,Not specified,"User Interface Design (UI Design), User Experience (UX), Graphic Design","Course and Specialization Overview, What IS a user interface anyway?, Formal Elements of Interface Design, Active Elements of Interface Design, Composing the Elements of Interface Design",Michael Worthington,California Institute of the Arts,Arts and Humanities,https://www.coursera.org/learn/visual-elements-user-interface-design,16.0,5809
"Teaching with Art: Using Inquiry, Activities, and Themes Specialization",4.9,Intermediate level,Flexible schedule,"Learn the ways inquiry, activities, and accessible themes can support students’ creative thinking.Explore how to enhance students’ ability to make connections between classroom content and their prior knowledge and experiences. ","Develop open-ended inquiry-based lessons, Develop inquiry-based lessons using open-ended questions, Create engaging multimodal activities to encourage active learning, Build lessons around themes, Cultivate collective meaning making using Social Emotional Learning strategies","Art & Inquiry: Museum Teaching Strategies For Your Classroom, Art & Activity: Interactive Strategies for Engaging with Art, Art & Ideas: Teaching with Themes","Francis Estrada, Lisa Mazzola, Larissa Raphael",The Museum of Modern Art,Arts and Humanities,https://www.coursera.org/specializations/teaching-with-art,40.0,36
Greek and Roman Mythology,4.8,Not specified,Flexible schedule,Not specified,"Art History, Greek Mythology, History, Mythology","Introduction, Becoming a Hero, Adventures Out and Back , Identity and Signs, Gods and Humans, Ritual and Religion, Justice, Unstable Selves, The Roman Hero, Remade, ""Roman Myth and Ovids Metamorphoses""",Peter Struck,University of Pennsylvania,Arts and Humanities,https://www.coursera.org/learn/mythology,24.0,2305
Write A Feature Length Screenplay For Film Or Television,4.6,Beginner level,Flexible schedule,"You will learn how to write and complete a full-length, feature film screenplay. You will have a finished script in hand at the end of the course.","Creative Writing, Filmmaking, Script Writing, Film and Televison Writing, Screenwriting","Week One - Creating The Idea, Week Two: Logline and Dramatic Question, Week Three Create your character profile(s), Week Four: The Three Act Story Arc, Week Five: Screenplay Formatting and Software, Week Six: Begin your screenplay, Week Seven: The middle section of Act One, Week Eight: Write the final section of Act One, Week Nine: Table read Act One, Week Ten: Begin Act Two, Week Eleven: Write pages 41-50, Week Twelve: Write pages 51-60, Week Thirteen: Write pages 61-70, Week Fourteen: Write pages 71-80, Week Fifteen: Table read Acts One and Two, Week Sixteen: Write pages 81-90, Week Seventeen: Write pages 91-100, Week Eighteen: Finish Act Three, Week Nineteen: Table read your entire script, Week Twenty: Finishing things up.",David Wheeler,Michigan State University,Arts and Humanities,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,93.0,196
Creative Writing: The Craft of Plot,4.7,Not specified,Flexible schedule,Not specified,"Short Story Writing, Fiction Writing, Creativity, Copy Editing","Plotting a Course, The Power of Structure, A Scene in Motion, Cut It Out",Brando Skyhorse,Wesleyan University,Arts and Humanities,https://www.coursera.org/learn/craft-of-plot,5.0,4708
Making Architecture,4.8,Beginner level,Flexible schedule,Not specified,Not specified,"Welcome to the Mind of an Architect, Design Analysis, Creating Spaces, Design Process","Manuel Perez Romero, David Jeffrey Goodman, Nenad Katic","IE Business School, IE School of Architecture & Design",Arts and Humanities,https://www.coursera.org/learn/making-architecture,13.0,1301
Graphic Design Elements for Non-Designers Specialization,4.7,Beginner level,Flexible schedule,"Appreciate the study of design layout and conceptual elements concerning design projects.Analyze basic design concepts to apply in the professional setting, including typography, color theory, image selection, and layout best practices.Design foundational creative projects, including business card, brochures, ads, websites and manuals.Discover techniques for working and communicating with graphic designers and other creative professionals.","Print Design, textual elements and manipulation, online design, Color Theory, Graphic Design","Basic Elements of Design: Design Principles and Software Overview, Graphic Elements of Design: Color Theory and Image Formats, Textual Elements of Design: Fonts, Typography, and Spacing, Print and Digital Elements of Design: Branding and User Experience",Lori Poole,University of Colorado Boulder,Arts and Humanities,https://www.coursera.org/specializations/graphic-design-elements-non-designers,40.0,1030
